,Makanan,Karbohidrat,Protein,Sayur,Pengolahan,Kelas
841,Biji Salak,Lainnya,Tidak ada,Tidak,Rebus atau kukus,123
842,Bubur Kacang Hijau,Lainnya,Tidak ada,Tidak,Rebus atau kukus,123
843,Setup Pisang,Lainnya,Tidak ada,Tidak,Rebus atau kukus,123
844,Kolak Labu,Lainnya,Tidak ada,Tidak,Rebus atau kukus,123
845,Perkedel Kentang,Lainnya,Tidak ada,Tidak,Goreng atau tumis,121
846,Kentang Goreng (French Fries & Potato Wedges),Lainnya,Tidak ada,Tidak,Goreng atau tumis,121
847,Long Potato,Lainnya,Tidak ada,Tidak,Goreng atau tumis,121
848,Bola Bola Ubi,Lainnya,Tidak ada,Tidak,Goreng atau tumis,121
849,Klepon Ubi Ungu,Lainnya,Tidak ada,Tidak,Goreng atau tumis,121
850,Gabin Tape,Lainnya,Tidak ada,Tidak,Goreng atau tumis,121
851,Misro,Lainnya,Tidak ada,Tidak,Goreng atau tumis,121
852,Tela Tela Singkong,Lainnya,Tidak ada,Tidak,Goreng atau tumis,121
853,Ubi Goreng,Lainnya,Tidak ada,Tidak,Goreng atau tumis,121
854,Pisang Gulung,Lainnya,Tidak ada,Tidak,Goreng atau tumis,121
855,Timus Singkong,Lainnya,Tidak ada,Tidak,Goreng atau tumis,121
856,Rondo Royal (Tape Goreng),Lainnya,Tidak ada,Tidak,Goreng atau tumis,121
857,Kacang Bawang,Lainnya,Tidak ada,Tidak,Goreng atau tumis,121
858,Getuk Goreng,Lainnya,Tidak ada,Tidak,Goreng atau tumis,121
859,Keripik Singkong,Lainnya,Tidak ada,Tidak,Goreng atau tumis,121
860,Kentang Mustofa,Lainnya,Tidak ada,Tidak,Goreng atau tumis,121
861,Keripik Singkong Balado,Lainnya,Tidak ada,Tidak,Goreng atau tumis,121
862,Pepes Jamur,Tidak ada,Lainnya,Ya,Rebus atau kukus,39
863,Sup Matahari,Tidak ada,Lainnya,Ya,Rebus atau kukus,39
864,Sundubu Jjigae,Tidak ada,Lainnya,Ya,Rebus atau kukus,39
865,Sop Sayur,Tidak ada,Lainnya,Ya,Rebus atau kukus,39
866,Sup Jamur Kancing,Tidak ada,Lainnya,Ya,Rebus atau kukus,39
867,Sup Jagung,Tidak ada,Lainnya,Ya,Rebus atau kukus,39
868,Bakwan Udang,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Ya,Goreng atau tumis,101
869,Mie Goreng Seafood,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Ya,Goreng atau tumis,101
870,Japchae,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Ya,Goreng atau tumis,101
871,Salad Buah (Fruit),Tidak ada,Tidak ada,Tidak,Lainnya,0
872,Sambal Soto,Tidak ada,Tidak ada,Tidak,Lainnya,0
873,Sambal Nanas,Tidak ada,Tidak ada,Tidak,Lainnya,0
874,Sambal Pecak,Tidak ada,Tidak ada,Tidak,Lainnya,0
875,Sambal Embe,Tidak ada,Tidak ada,Tidak,Lainnya,0
876,Sambal Dabu Dabu,Tidak ada,Tidak ada,Tidak,Lainnya,0
877,Sambal Bajak,Tidak ada,Tidak ada,Tidak,Lainnya,0
878,Sambal Lalapan,Tidak ada,Tidak ada,Tidak,Lainnya,0
879,Sambal Kencur,Tidak ada,Tidak ada,Tidak,Lainnya,0
880,Sambal Matah Kecombrang,Tidak ada,Tidak ada,Tidak,Lainnya,0
881,Sambal Korek,Tidak ada,Tidak ada,Tidak,Lainnya,0
882,Sambal Bawang,Tidak ada,Tidak ada,Tidak,Lainnya,0
883,Sambal Ijo,Tidak ada,Tidak ada,Tidak,Lainnya,0
884,Sambal Mangga Muda (Pencit),Tidak ada,Tidak ada,Tidak,Lainnya,0
885,Selai Srikaya,Tidak ada,Tidak ada,Tidak,Lainnya,0
886,Selai Stroberi,Tidak ada,Tidak ada,Tidak,Lainnya,0
887,Rujak Mangga Muda,Tidak ada,Tidak ada,Tidak,Lainnya,0
888,Rujak Serut,Tidak ada,Tidak ada,Tidak,Lainnya,0
889,Sorbet Buah,Tidak ada,Tidak ada,Tidak,Lainnya,0
890,Guacamole,Tidak ada,Tidak ada,Tidak,Lainnya,0
891,Asinan Rambutan,Tidak ada,Tidak ada,Tidak,Lainnya,0
892,Asinan Buah,Tidak ada,Tidak ada,Tidak,Lainnya,0
893,Sop Buah,Tidak ada,Tidak ada,Tidak,Lainnya,0
894,Gado Gado Betawi,Lainnya,"Tahu, tempe, dan telur",Ya,Rebus atau kukus,151
895,Burgo,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Lainnya,112
896,Mie Tek Tek Kuah,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Lainnya,112
897,Mie Goreng Basah,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Lainnya,112
898,Mie Goreng Nyemek,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Lainnya,112
899,Bread Pudding (Puding Roti Tawar),"Tepung, Mie, dan Pasta",Lainnya,Tidak,Lainnya,112
900,Burger Bun,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Lainnya,112
901,Roti Ubi Korea,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Lainnya,112
902,Setup Roti Tawar,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Lainnya,112
903,Terong Bakar,Tidak ada,Tidak ada,Ya,Panggang atau bakar,6
904,Sambal Tomat,Tidak ada,Tidak ada,Tidak,Goreng atau tumis,1
905,Balado Kentang,Tidak ada,Tidak ada,Tidak,Goreng atau tumis,1
906,Spaghetti Brulee,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Lainnya,88
907,Risotto,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Lainnya,88
908,Spaghetti Rendang,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Lainnya,88
909,Mie Setan,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Lainnya,88
910,Mie Ongklok,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Lainnya,88
911,Spaghetti Carbonara,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Lainnya,88
912,Spaghetti Bolognese Meatballs (Bola-bola Daging),"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Lainnya,88
913,Fettucini Carbonara,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Lainnya,88
914,Mie Kocok Bandung,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Lainnya,88
915,Spaghetti Aglio Olio,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Lainnya,88
916,Soto Daging Sapi Madura,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Lainnya,88
917,Roti Jala Kari Daging,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Lainnya,88
918,Lumpia Basah,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Lainnya,88
919,Nasi Daun Jeruk,Beras dan olahannya,Lainnya,Ya,Rebus atau kukus,79
920,Bakmoy,Beras dan olahannya,Lainnya,Ya,Rebus atau kukus,79
921,Indomie Seblak,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Rebus atau kukus,115
922,Mie Sagu Kuah,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Rebus atau kukus,115
923,Mie Kuah Susu,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Rebus atau kukus,115
924,Mie Godog Jawa (Mie Rebus Jawa),"Tepung, Mie, dan Pasta",Lainnya,Tidak,Rebus atau kukus,115
925,Makaroni Keju Kukus,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Rebus atau kukus,115
926,Sup Makaroni,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Rebus atau kukus,115
927,Jasuke,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Rebus atau kukus,115
928,Es Lilin Nutrijel Pelangi,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Rebus atau kukus,115
929,Pudot (Puding Sedot),"Tepung, Mie, dan Pasta",Lainnya,Tidak,Rebus atau kukus,115
930,Puding Mangga,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Rebus atau kukus,115
931,Kimbab,Beras dan olahannya,Lainnya,Ya,Lainnya,76
932,Nasi Gemuk,Beras dan olahannya,Lainnya,Ya,Lainnya,76
933,Nasi Padang,Beras dan olahannya,Lainnya,Ya,Lainnya,76
934,Nasi Rames,Beras dan olahannya,Lainnya,Ya,Lainnya,76
935,Nasi Campur Bali,Beras dan olahannya,Lainnya,Ya,Lainnya,76
936,Nasi Ulam,Beras dan olahannya,Lainnya,Ya,Lainnya,76
937,Nasi Godog Khas Magelang,Beras dan olahannya,Lainnya,Ya,Lainnya,76
938,Nasi Tempong,Beras dan olahannya,Lainnya,Ya,Lainnya,76
939,Nasi Megono,Beras dan olahannya,Lainnya,Ya,Lainnya,76
940,Bibimbap,Beras dan olahannya,Lainnya,Ya,Lainnya,76
941,Nasi Kuning Komplit,Beras dan olahannya,Lainnya,Ya,Lainnya,76
942,Nasi Mandhi,Beras dan olahannya,Lainnya,Tidak,Rebus atau kukus,75
943,Kue Lapet,Beras dan olahannya,Lainnya,Tidak,Rebus atau kukus,75
944,Ketan Susu,Beras dan olahannya,Lainnya,Tidak,Rebus atau kukus,75
945,Puding Tape Ketan,Beras dan olahannya,Lainnya,Tidak,Rebus atau kukus,75
946,Ketupat,Beras dan olahannya,Tidak ada,Tidak,Rebus atau kukus,43
947,Nasi Tiwul,Beras dan olahannya,Tidak ada,Tidak,Rebus atau kukus,43
948,Ketan Serundeng,Beras dan olahannya,Tidak ada,Tidak,Rebus atau kukus,43
949,Wajik Ketan,Beras dan olahannya,Tidak ada,Tidak,Rebus atau kukus,43
950,Madu Mongso,Beras dan olahannya,Tidak ada,Tidak,Rebus atau kukus,43
951,Tape Ketan,Beras dan olahannya,Tidak ada,Tidak,Rebus atau kukus,43
952,Bubur Ketan Hitam,Beras dan olahannya,Tidak ada,Tidak,Rebus atau kukus,43
953,Jenang Gempol,Beras dan olahannya,Tidak ada,Tidak,Rebus atau kukus,43
954,Ketan Durian,Beras dan olahannya,Tidak ada,Tidak,Rebus atau kukus,43
955,Rengginang,Beras dan olahannya,Tidak ada,Tidak,Rebus atau kukus,43
956,Kolak Durian,Beras dan olahannya,Tidak ada,Tidak,Rebus atau kukus,43
957,Mango Sticky Rice,Beras dan olahannya,Tidak ada,Tidak,Rebus atau kukus,43
958,Nasi Ayam Semarang,Beras dan olahannya,Ayam dan daging,Tidak,Rebus atau kukus,51
959,Bubur Korea (Dakjuk),Beras dan olahannya,Ayam dan daging,Tidak,Rebus atau kukus,51
960,Arem-Arem,Beras dan olahannya,Ayam dan daging,Tidak,Rebus atau kukus,51
961,Nasi Goreng Nanas Khas Thailand,Beras dan olahannya,Lainnya,Tidak,Goreng atau tumis,73
962,Nasi Goreng Shirataki,Beras dan olahannya,Lainnya,Tidak,Goreng atau tumis,73
963,Nasi Goreng Tek Tek (Abang Kaki Lima),Beras dan olahannya,Lainnya,Tidak,Goreng atau tumis,73
964,Nasi Goreng Magelangan,Beras dan olahannya,Lainnya,Tidak,Goreng atau tumis,73
965,Nasi Goreng Merah,Beras dan olahannya,Lainnya,Tidak,Goreng atau tumis,73
966,Nasi Goreng Gila,Beras dan olahannya,Lainnya,Tidak,Goreng atau tumis,73
967,Nasi Goreng Oriental,Beras dan olahannya,Lainnya,Tidak,Goreng atau tumis,73
968,Nasi Goreng Aceh,Beras dan olahannya,Lainnya,Tidak,Goreng atau tumis,73
969,Nasi Goreng Terasi (Belacan),Beras dan olahannya,Lainnya,Tidak,Goreng atau tumis,73
970,Nasi Goreng Pete,Beras dan olahannya,Lainnya,Tidak,Goreng atau tumis,73
971,Nasi Goreng Kuning Kunyit,Beras dan olahannya,Lainnya,Tidak,Goreng atau tumis,73
972,Nasi Goreng Padang,Beras dan olahannya,Lainnya,Tidak,Goreng atau tumis,73
973,Nasi Goreng Jawa,Beras dan olahannya,Lainnya,Tidak,Goreng atau tumis,73
974,Macaroni Cheese (Mac n cheese),"Tepung, Mie, dan Pasta",Lainnya,Tidak,Panggang atau bakar,114
975,Sate Kribo,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Panggang atau bakar,114
976,Pastel Tutup Klasik,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Panggang atau bakar,114
977,Pizza Mozzarella Jamur,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Panggang atau bakar,114
978,Cornflake Cookies,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Panggang atau bakar,114
979,Mie Tarempa,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Tidak,Lainnya,96
980,Spaghetti Seafood Marinara,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Tidak,Lainnya,96
981,Nasi Telur Korea,Beras dan olahannya,"Tahu, tempe, dan telur",Tidak,Lainnya,64
982,Nasi Tutug Oncom,Beras dan olahannya,"Tahu, tempe, dan telur",Tidak,Lainnya,64
983,Nasi Bakar Ikan Tongkol,Beras dan olahannya,Ikan dan Seafood,Tidak,Panggang atau bakar,58
984,Nasi Bakar Cumi (Sambalado Cumi),Beras dan olahannya,Ikan dan Seafood,Tidak,Panggang atau bakar,58
985,Nasi Bakar Teri (Sambel Teri Cabai Hijau),Beras dan olahannya,Ikan dan Seafood,Tidak,Panggang atau bakar,58
986,Nasi Bakar Bandung Sunda,Beras dan olahannya,Lainnya,Tidak,Panggang atau bakar,74
987,Baked Rice (Nasi Panggang),Beras dan olahannya,Lainnya,Tidak,Panggang atau bakar,74
988,Cireng Nasi,Beras dan olahannya,Tidak ada,Tidak,Goreng atau tumis,41
989,Kerupuk Nasi,Beras dan olahannya,Tidak ada,Tidak,Goreng atau tumis,41
990,Mie Ayam Jamur,"Tepung, Mie, dan Pasta",Lainnya,Ya,Lainnya,116
991,Kwetiau Siram,"Tepung, Mie, dan Pasta",Lainnya,Ya,Lainnya,116
992,Mie Titi,"Tepung, Mie, dan Pasta",Lainnya,Ya,Lainnya,116
993,Mie Sayur Hijau Bayam,"Tepung, Mie, dan Pasta",Lainnya,Ya,Lainnya,116
994,Nasi Goreng Rendang,Beras dan olahannya,Ayam dan daging,Tidak,Goreng atau tumis,49
995,Nasi Goreng Sapi,Beras dan olahannya,Ayam dan daging,Tidak,Goreng atau tumis,49
996,Nasi Goreng Kambing,Beras dan olahannya,Ayam dan daging,Tidak,Goreng atau tumis,49
997,Nasi Goreng Kikil Cabe Hijau,Beras dan olahannya,Ayam dan daging,Tidak,Goreng atau tumis,49
998,Mie Celor,Beras dan olahannya,Ikan dan Seafood,Tidak,Rebus atau kukus,59
999,Macaroni Schotel,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Panggang atau bakar,90
1000,Lasagna Panggang,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Panggang atau bakar,90
1001,Bakso Bakar Sapi,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Panggang atau bakar,90
1002,Bakso Bakar Pedas Manis,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Panggang atau bakar,90
1003,Pizza Sosis Ayam,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Panggang atau bakar,90
1004,Nasi Liwet Sunda Teri,Beras dan olahannya,Ikan dan Seafood,Tidak,Lainnya,56
1005,Onigiri,Beras dan olahannya,Ikan dan Seafood,Tidak,Lainnya,56
1006,Tinutuan,Beras dan olahannya,Tidak ada,Ya,Rebus atau kukus,47
1007,Bubur Manado,Beras dan olahannya,Tidak ada,Ya,Rebus atau kukus,47
1008,Bubur (Jenang) Jagung,Lainnya,Lainnya,Tidak,Lainnya,152
1009,Sop Kimlo,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Ya,Rebus atau kukus,111
1010,Crepes Teflon,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1011,Kue Baruasa,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1012,Kue Janda Genit,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1013,Martabak Manis Mini,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1014,Bolu Chocolatos,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1015,Brownies Chocolatos,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1016,Bolu Susu Lembang,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1017,Kue Lontar Papua,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1018,Croffle,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1019,Kue Moho,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1020,Hotteok,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1021,Peanut Butter Cookies,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1022,Bolu Susu,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1023,Bolu Meranti Keju,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1024,Kue Lapis Pepe Pandan,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1025,Lapis India Khas Banjar,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1026,Nastar Gulung,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1027,Kue Beng Beng,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1028,Marshmallow Cookies,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1029,Baguette,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1030,Banoffee Pie,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1031,Kue Lapis Legit,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1032,Bolu Mentega,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1033,Kue Ogura Pandan,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1034,Lekker Holland,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1035,Kue Balok,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1036,Kue Bagea Sagu,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1037,Dessert Oreo Box,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1038,Apple Strudel,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1039,Killer Soft Bread,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1040,Butter Cookies,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1041,Swiss Roll,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1042,Bolu Kismis,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1043,Cake Kurma,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1044,Fruit Cake,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1045,Roti Unyil,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1046,Lemon Cake,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1047,Cheese Tart,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1048,Red Velvet,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1049,Kue Semprit Jadul,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1050,Bolu Ketan Hitam,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1051,Japanese Cheese Cake,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1052,Roti Bluder,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1053,Kue Kering Coklat,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1054,Lidah Kucing,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1055,Bolu Zebra,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1056,Bolu Minyak,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1057,Kastengel Keju,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1058,Muffin Pisang,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1059,Ogura Cake Zebra,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1060,Dorayaki Isi Coklat,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1061,Martabak Bangka Manis,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1062,Croissant,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1063,Milk Bath Cake (Tres Leches),"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1064,Strudel Keju,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1065,Bolu Gulung Coklat,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1066,Pie Susu,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1067,Kue Lumpur Kentang,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1068,Roti Tawar,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1069,Cinnamon Roll,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1070,Muffin Coklat,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1071,Cake Pisang (Banana Bread),"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1072,Bolu Gulung Pandan Keju,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1073,Kue Kering Nastar,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1074,Bika Ambon,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1075,Bolu Koja,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1076,Sagu Keju,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1077,Kue Sus Isi Vla,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1078,Kue Bolu Sarang Semut (Caramel Cake),"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1079,Roti Manis,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1080,Chocolate Lava Cake,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1081,Kue Putri Salju,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1082,Choco Chip Cookies (Kukis),"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1083,Klapertart Klasik,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1084,Pisang Bolen Keju,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1085,Pie Vla Buah Mini (Fruit Tartlet),"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1086,Bolu Marmer,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1087,Brownies Panggang Klasik,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1088,Roti Sobek,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1089,Black Forest,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1090,Kue Bangkit,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1091,Roti Kasur,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1092,Sponge Cake Lemon,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1093,Chiffon Cake Pandan,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1094,Roti Pisang,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1095,Egg Tart Portuguese,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1096,Waffle,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1097,Roti Boy O (Mocha Bun),"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1098,Pancake Pisang,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1099,Kue Lapis Surabaya (Spikoe),"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1100,Chocolate Mousse Cake,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1101,Almond Crispy,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1102,Apple Pie,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1103,Bolu Panggang Coklat,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1104,Kue Cubit,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1105,Sus Buah,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1106,Bolu Pisang,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
1107,Martabak Manis Cokelat Kacang,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar,106
